cell_id,H3tot,H3met,CK5,Fibronectin,CK19,CK8/18,TWIST1,CD68,CK14,SMA,Vimentin,Myc,HER2,CD3,H3phospho,ERK1/2,SLUG,ER,PR,p53,CD44,EpCAM,CD45,GATA3,CD20,betaCatenin,CAIX,Ecadherin,Ki67,EGFR,S6,Sox9,vWf_CD31,mTOR,CK7,panCK,cPARP_cCasp3,DNA1,DNA2
663,9.89968,0.59005284,0.075926825,1.7277194,0.625134,1.7098256,0.17420323,0.20756504,0.13819106,0.36390653,8.70948,0.28362197,1.3137763,0.10431301,0.15340245,0.17286585,0.33320728,0.06400407,0.5140164,0.13294716,10.513892,0.25117075,0.056422766,0.54740256,0.069849595,0.1481138,0.44671953,2.9645815,0.23766667,0.22221953,2.1508865,12.032493,0.6082196,1.6511586,0.3434268,14.8301935,1.1449959,1.5875654,3.1427062
664,3.596382,0.29650906,0.07989091,5.536217,0.14181818,0.09090909,0.036363635,1.0775273,0.13543636,0.08854545,8.178547,0.37694547,1.1708544,0.018181818,0.05669091,0.5934727,0.3174909,0.3425273,0.79105455,0.15572727,65.44247,0.4219818,0.5286909,0.3225091,0.043836363,0.113145456,0.63854545,0.37310913,0.10043637,0.15852727,3.4626725,0.2704182,0.04438182,0.41654545,0.0718,0.8074545,0.6768364,1.2141635,2.0989273
665,8.878803,0.7294495,0.07155056,9.866237,0.27094382,0.2102416,0.12461237,3.1792636,0.08789887,4.2323318,6.526407,0.43193257,0.30631465,0.17142135,0.15091012,0.19053371,0.16411237,0.20363484,0.75429773,0.10776404,51.46605,0.47140452,0.5723933,0.23721348,0.16823596,0.08739887,0.44502807,0.52711797,0.04044944,0.21243258,2.106702,0.21261236,0.083679765,0.4762584,0.03375281,0.45914605,0.64172465,1.917326,3.7512693
666,6.421895,0.3896842,0.05263158,2.774579,0.55368423,0.8912632,0.17278947,0.34126318,0.13078947,2.6158948,2.4036841,0.0,0.17215788,0.0,0.18426315,0.05263158,0.10526316,0.05263158,0.2755263,0.0,8.890211,0.05263158,0.077315785,0.48131582,0.16742106,0.05263158,0.11857895,1.1222105,0.06447369,0.110315785,0.6803684,0.0,0.10736842,1.2749474,0.05263158,3.259842,0.0728421,2.0628948,2.2316842
667,9.297503,0.7107273,0.13192727,0.6622,0.5180363,1.1481334,0.14026062,0.1689091,0.0986303,1.114006,2.7489877,0.20083636,0.54498196,0.056557573,0.20535152,9.118533,0.16054547,0.030303031,0.4952303,0.14247273,10.168317,0.3088182,0.032030303,0.3397091,0.06578788,0.11366062,0.45865455,2.7534728,0.2237515,0.21481818,1.602521,0.29949093,0.079284854,1.071903,0.26245457,11.638993,0.8461515,1.9844732,3.8308306
668,9.810926,0.8974642,0.074598216,1.4232409,1.518491,1.7213751,0.12792858,0.18375,0.08988392,0.28865176,7.6408467,0.22234821,0.4418214,0.06785714,0.17100893,0.12566964,0.31646428,0.0273125,0.33694643,0.037491072,4.783838,0.26839286,0.030098215,0.30883035,0.026785715,0.17614286,0.8335536,5.972875,0.27458033,0.2771161,1.9071785,0.5046161,0.13203572,0.99526787,0.8198392,24.631716,0.7631072,3.2754114,6.607205
669,2.1568103,0.6085823,0.17910126,6.8437986,1.1123418,1.5984937,0.2511013,0.79235446,0.121037975,9.962657,13.185204,0.57259494,0.6257595,0.123455696,0.1694557,0.2063291,0.22711395,0.11260759,0.7722658,0.08948102,49.81265,0.5276582,0.29235443,0.10660759,0.08158228,0.2558734,0.37806326,4.6605067,0.18981013,0.45231643,2.4370883,0.21026583,0.08288608,1.1013798,0.25108862,16.780317,1.1067468,0.8433925,1.4528482
670,8.041818,0.54641145,0.14692198,8.21034,0.29608512,0.15928368,0.15726243,5.265107,0.12912056,3.0312765,7.311824,0.28429785,0.39034042,0.117787234,0.11457447,0.29913473,0.12922695,0.15602838,0.95401424,0.11695744,49.65533,0.47260284,0.5832411,0.2935177,0.12168086,0.0978156,0.5987517,0.45416307,0.074539006,0.34362411,2.804568,0.2362837,0.14195745,0.5283972,0.072921984,0.3936525,0.9320567,1.6187377,2.790362
671,13.436882,0.51622057,0.12215441,1.0116911,0.37960294,0.88357353,0.0977647,0.18980145,0.08398529,1.8489044,1.3190295,0.12455147,0.3719265,0.031713232,0.22294855,0.18300001,0.14597794,0.042625,0.44838238,0.1485,10.652976,0.24476472,0.061095588,0.70294124,0.064860284,0.15627205,0.383375,4.575537,0.7637353,0.17525734,1.4088161,0.16009559,0.048830885,0.86571336,0.18697794,4.7801476,0.4219044,4.0413623,7.452472
672,21.139874,0.8133511,0.15164894,1.8057021,0.5691915,2.1539361,0.11277659,0.21273404,0.10373404,1.2752236,5.5753403,0.16557448,0.60531914,0.06911702,0.4049468,3.0974255,0.13768084,0.07920213,0.60951066,0.12560639,14.606177,0.3572766,0.08239362,1.3582127,0.08652127,0.15640426,0.50148934,4.3942227,0.2533085,0.278,2.2344465,0.74288297,0.18952128,2.3750958,0.39126596,15.556107,0.8604256,4.7276597,8.36582
